CAS,LogP,smiles_string
000059-92-7,-2.39,O=C(O)C(N)Cc(ccc(O)c1O)c1
000059-98-3,2.65,c1ccccc1CC2=NCCN2
000060-09-3,3.41,N(=Nc(cccc1)c1)c(ccc(N)c2)c2
000060-11-7,4.58,N(=Nc(cccc1)c1)c(ccc(N(C)C)c2)c2
000060-12-8,1.36,OCCc(cccc1)c1
000060-17-3,-1.89,NC(Cc1ccc(F)cc1)C(O)=O
000060-18-4,-2.26,O=C(O)C(N)Cc(ccc(O)c1)c1
000060-27-5,-1.76,O=C(NC(=N)N1C)C1
000060-29-7,0.89,O(CC)CC
000060-32-2,-2.95,O=C(O)CCCCCN
000060-33-3,7.05,O=C(O)CCCCCCCC=CCC=CCCCCC
000060-34-4,-1.05,N(N)C
000060-35-5,-1.26,O=C(N)C
000060-51-5,0.78,O=C(NC)CSP(OC)(OC)=S
000060-54-8,-1.30,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O
000060-56-0,-0.34,S=C1NC=CN1C
000060-57-1,5.40,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
000060-80-0,0.38,c1ccccc1N2C(=O)C=C(C)N2C
000060-87-7,4.81,c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1
000060-91-3,5.94,c1cc2N(CCN(CC)CC)c3cc(Cl)ccc3Sc2cc1
000060-92-4,-2.96,c1nc2c(N)ncnc2n1C3OC4COP(=O)(O)OC4C3O
000060-99-1,4.68,c1ccc2Sc3ccc(OC)cc3N(CC(C)CN(C)C)c2c1
000061-01-8,4.90,c1ccc2Sc3ccc(OC)cc3N(CCCN(C)C)c2c1
000061-32-5,1.22,COc1cccc(OC)c1C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)SC23
000061-33-6,1.83,O=C(NC(C(=O)N1C(C(=O)O)C(S2)(C)C)C12)Cc(cccc3)c3
000061-54-1,1.55,NCCc1cnc2ccccc12
000061-57-4,0.95,O=C1NCCN1c2ncc(s2)N(=O)=O
000061-68-7,5.12,OC(=O)c1ccccc1Nc2c(C)c(C)ccc2
000061-72-3,2.48,Cc2onc(c1ccccc1Cl)c2C(=O)NC4C3SC(C)(C)C(N3C4=O)C(O)=O
000061-76-7,-0.31,C[N+](H)(H)CC(O)c1cccc(O)c1.[Cl-]
000061-78-9,-0.89,O=C(NCC(=O)O)c(ccc(N)c1)c1
000061-80-3,2.46,c1c(Cl)cc2nc(N)oc2c1
000061-82-5,-0.97,n1nc(N)nc1
000061-90-5,-1.52,O=C(O)C(N)CC(C)C
000062-23-7,1.89,O=C(O)c(ccc(N(=O)(=O))c1)c1
000062-37-3,-0.80,Cl[Hg]CC(OC)CNC(=O)N
000062-38-4,0.71,CC(=O)O[Hg]c1ccccc1
000062-44-2,1.58,CC(=O)Nc1ccc(OCC)cc1
000062-53-3,0.90,Nc(cccc1)c1
000062-55-5,-0.26,NC(=S)C
000062-56-6,-1.08,NC(=S)N
000062-67-9,1.86,OC1C=CC2C3Cc4ccc(O)c5OC1C2(CCN3CC=C)c45
000062-73-7,1.43,O=P(OC)(OC)OC=C(Cl)Cl
000062-75-9,-0.57,O=NN(C)C
000063-05-8,2.75,C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
000063-25-2,2.36,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC
000063-68-3,-1.87,O=C(O)C(N)CCSC
000063-74-1,-0.62,O=S(=O)(N)c(ccc(N)c1)c1
000063-75-2,0.35,CN1CCC=C(C(=O)OC)C1
000063-84-3,-2.74,c1c(O)c(O)ccc1CC(N)C(=O)O
000063-91-2,-1.38,O=C(O)C(N)Cc(cccc1)c1
000063-98-9,0.87,NC(=O)NC(=O)Cc1ccccc1
000063-99-0,1.29,Cc1cccc(NC(N)=O)c1
000064-00-6,2.63,CNC(=O)Oc1cccc(c1)C(C)C
000064-04-0,1.41,NCCc(cccc1)c1
000064-10-8,0.83,O=C(Nc(cccc1)c1)N
000064-13-1,1.77,c1cc(OC)ccc1CC(N)C
000064-17-5,-0.31,OCC
000064-18-6,-0.54,O=CO
000064-19-7,-0.17,O=C(O)C
000064-39-1,3.13,c1ccccc1C2(OC(=O)CC)C(C)CN(C)C(C)C2
000064-67-5,1.14,O=S(=O)(OCC)OCC
000064-77-7,2.34,O=C(NCCCC)NS(=O)(=O)c(ccc(c1)C)c1
000064-85-7,2.88,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C)CCC3C2(C)C1
000064-86-8,1.30,O=C(NC(C(C(c(c(cc(OC)c1OC)C2)c1OC)=CC=C(OC)C3=O)=C3)C2)C
000065-23-6,-0.77,n(c(c(O)c(c1CO)CO)C)c1
000065-45-2,1.28,O=C(N)c(c(O)ccc1)c1
000065-46-3,-2.51,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O
000065-49-6,0.89,O=C(O)c(c(O)cc(N)c1)c1
000065-71-4,-0.62,C1=C(C)C(=O)NC(=O)N1
000065-85-0,1.87,O=C(O)c(cccc1)c1
000065-86-1,-0.83,C1(=O)NC(=O)NC(C(=O)O)=C1
000066-22-8,-1.07,N1C(=O)NC(=O)C=C1
000066-23-9,-3.61,[N+](C)(C)(C)CCOC(=O)C.[Br-]
000066-25-1,1.78,O=CCCCCC
000066-28-4,0.64,C1C(O)CC2(O)CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C(=O))C1
000066-71-7,1.78,n(c(c(ccc1cccn2)cc3)c12)c3
000066-76-2,2.07,O=C1Oc2ccccc2C(O)=C1CC3=C(O)c4ccccc4OC3=O
000066-79-5,2.38,Cc2onc(c1ccccc1)c2C(=O)NC4C3SC(C)(C)C(N3C4(=O))C(=O)(O)
000066-81-9,0.55,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2
000066-97-7,1.67,O=C1C=Cc2cc3ccoc3cc2O1
000067-20-9,-0.47,O=C(N(N=CC(OC(N(=O)=O)=C1)=C1)CC2=O)N2
000067-45-8,-0.04,O=C(OCC1)N1N=CC(OC(N(=O)=O)=C2)=C2
000067-51-6,1.01,N(NC(=C1)C)=C1C
000067-52-7,-1.47,O=C(NC(=O)CC1(=O))N1
000067-56-1,-0.77,OC
000067-63-0,0.05,OC(C)C
000067-64-1,-0.24,O=C(C)C
000067-66-3,1.97,C(Cl)(Cl)Cl
000067-68-5,-1.35,O=S(C)C
000067-71-0,-1.41,O=S(=O)(C)C
000067-72-1,4.14,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
000067-73-2,2.48,C1(=O)C=C2C(F)CC3C4CC5C(C(=O)CO)(OC(C)(C)O5)C4(C)CC(O)C3(F)C2(C)C=C1
000067-78-7,1.92,O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
000068-05-3,-2.82,CC[N+](CC)(CC)CC.[I-]
000068-11-1,0.09,O=C(O)CS
000068-12-2,-1.01,O=CN(C)C
000068-22-4,2.97,CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C
000068-26-8,5.68,OCC=C(C=CC=C(C=CC(=C(CCC1)C)C1(C)C)C)C
000068-35-9,-0.09,O=S(=O)(Nc(nccc1)n1)c(ccc(N)c2)c2
000068-36-0,4.62,c(ccc(c1)C(Cl)(Cl)Cl)(c1)C(Cl)(Cl)Cl
000068-76-8,-0.13,O=C2C=C(N1CC1)C(=O)C(=C2N3CC3)N4CC4
000068-94-0,-1.11,N1C=Nc2nc[nH]c2C1(=O)
000068-96-2,3.17,CC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C
000069-23-8,4.36,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(cc23)C(F)(F)F)CC4
000069-33-0,-0.80,c12ncnc(N)c1ccn2C3OC(CO)C(O)C3(O)
000069-53-4,1.35,CC3(C)SC2C(NC(=O)C(N)c1ccccc1)C(=O)N2C3C(=O)(O)
000069-53-4,-1.13,CC3(C)SC2C(NC(=O)C(N)c1ccccc1)C(=O)N2C3C(=O)(O)
000069-65-8,-3.10,OCC(O)C(O)C(O)C(O)CO
000069-72-7,2.26,O=C(O)c(c(O)ccc1)c1
000069-89-6,-0.73,N1C(=O)Nc2nc[nH]c2C1(=O)
000069-91-0,-1.70,c1ccccc1C(N)C(=O)O
000069-93-2,-2.17,O=C1NC(=O)NC2=C1NC(=O)N2
000070-00-8,-0.46,OCC1OC(CC1O)N2C=C(C(=O)NC2(=O))C(F)(F)F
000070-11-1,2.19,O=C(c(cccc1)c1)CBr
000070-26-8,-4.22,O=C(O)C(N)CCCN
000070-30-4,7.54,Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl
000070-47-3,-3.82,O=C(O)C(N)CC(=O)N
000070-55-3,0.82,O=S(=O)(N)c(ccc(c1)C)c1
000070-70-2,2.03,O=C(c(ccc(O)c1)c1)CC
000071-00-1,-3.32,O=C(O)C(N)CC(N=CN1)=C1
000071-23-8,0.25,OCCC
000071-30-7,-1.73,N1C(=O)N=C(N)C=C1
000071-33-0,-1.87,C1=NC(=O)NC(=O)N1
000071-36-3,0.88,OCCCC
000071-41-0,1.51,OCCCCC
000071-43-2,2.13,c(cccc1)c1
000071-55-6,2.49,C(Cl)(Cl)(Cl)C
000071-63-6,1.85,C1C(OC6OC(C)C(OC7OC(C)C(OC8OC(C)C(O)C(O)C8)C(O)C7)C(O)C6)CC2CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C)C1
000071-91-0,-2.82,CC[N+](CC)(CC)CC.[Br-]
000072-14-0,0.05,c1cc(N)ccc1S(=O)(=O)Nc2nccs2
000072-18-4,-2.26,O=C(O)C(N)C(C)C
000072-19-5,-2.94,O=C(O)C(N)C(O)C
000072-20-8,5.20,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
